"translation_id","action","owner","message_id","replacement_id","excluded_locales","notes"
"8401732857558278804","keep","other/open_in_same_tab.patch","IDS_CONTENT_CONTEXT_OPENLINKSAMETAB","","","Sentence-case feature translation remains valid."
"4112568233565426272","keep","other/open_in_same_tab.patch","IDS_CONTENT_CONTEXT_OPENLINKSAMETAB","","","Title-case feature translation remains valid; available for 15 locales."
"658517591826931316","move_generated_to_chromium","branding_exception","IDS_NTP_CUSTOMIZE_CHROME_RESET_TO_CLASSIC_CHROME_LABEL","","","Text and ID remain valid, but the message moved from generated_resources to chromium_strings."
"1290370037980749495","drop","branding_sync","IDS_SETTINGS_SITE_SETTINGS_JAVASCRIPT_OPTIMIZER_ALLOWED_SUB_LABEL","7756769956307610510","","Stale pre-M144 Thorium ID; the M144 overlay and current M150 branding result use replacement ID 7756769956307610510."
"2601544977861663592","drop","branding_sync","multiple","5759132841875519049;9205156301846564163","","M150 meaning attributes produce multiple IDs; branding sync preserves current meanings."
"3419566579770884237","drop","removed_or_rewritten","IDS_SETTINGS_SEARCH_ENGINES_SITE_SEARCH_EXPLANATION_STARTER_PACK","4244973288412043989","","Starter-pack message was removed; current replacement is shorter and not semantically equivalent."
"5501994443630499490","drop","removed_message","IDS_SETTINGS_SECURITY_V8_LINK_DESCRIPTION","","","No confirmed M150 successor."
"6618835206810857815","drop","legal_text_review","IDS_ABOUT_VERSION_COPYRIGHT","4330179304465332806","","Copyright wording changed; do not mechanically reuse old legal translations."
"7057723382073894700","drop","branding_sync","IDS_SETTINGS_SITE_SETTINGS_JAVASCRIPT_OPTIMIZER_DESCRIPTION","3567656012302206254","","Stale pre-M144 Thorium ID; the M144 overlay and current M150 branding result use replacement ID 3567656012302206254."
"7690933224612299375","keep","reviewed_legacy_addition","IDS_VERSION_UI_LICENSE","7690933224612299375","hi;ne","Use 79 reviewed official legacy translations; Hindi and Nepali incorrectly retain Chromium as the product subject and use English fallback."
